id2,married_perc,widow_perc,divorce_perc,sep_perc,never_perc
1,46.6,6.8,12.3,2.3,31.9
2,48.2,3.7,12.2,1.8,34
4,46.9,5.4,12.4,1.8,33.5
5,49.2,6.9,13.6,2.5,27.8
6,46.6,4.9,9.3,2,37.2
8,50.2,4.3,11.9,1.4,32.2
9,46.9,5.8,10.9,1.3,35.1
10,47.4,6.1,10.9,1.8,34
11,28.1,4.3,8.3,2.1,57.2
12,46.1,6.9,13,2.2,31.8
13,46.7,5.4,11.3,2.2,34.4
15,49.3,6.3,9.7,1.1,33.6
16,53.5,5.5,12.2,1,27.8
17,47.4,5.8,9.6,1.5,35.6
18,48.9,6,12.4,1.3,31.4
19,52.3,6,10.7,1.2,29.9
20,52.2,5.8,11.4,1.3,29.2
21,49.5,6.5,13.1,2.1,28.8
22,42.8,6.6,11.6,2.5,36.6
23,49.4,6.2,14.6,0.8,29
24,47.1,5.7,9.9,2.1,35.3
25,46.3,5.5,9.5,1.7,36.9
26,48,5.9,11.5,1.2,33.4
27,51.9,4.9,10.2,1,32.1
28,43.7,6.9,11.7,2.9,34.8
29,48.5,6.4,12.6,1.8,30.7
30,52.1,5.6,12.6,1.1,28.7
31,53,5.4,10.3,1.2,30.2
32,45.5,5.1,13.9,2.3,33.2
33,51.4,5.4,12.3,1.3,29.6
34,49.1,5.9,8.6,1.9,34.6
35,43.3,6.1,13.3,1.8,35.5
36,44.4,5.8,8.7,2.4,38.7
37,48.7,5.9,10.9,2.7,31.8
38,52.2,5.7,9.3,0.7,32.1
39,47.4,6.3,12,1.7,32.6
40,48.9,6.6,13.3,2.2,29
41,49.2,5.1,12.8,1.6,31.3
42,47.5,6.7,9.8,2,34
44,45.3,5.9,10.6,1.2,37
45,47,6.4,10.5,2.8,33.3
46,51,5.9,11.2,1.3,30.5
47,49.2,6.2,12.1,2.1,30.4
48,48.9,5,10.6,2.4,33
49,55.6,3.7,9.2,1.2,30.3
50,48,5.7,13,1.2,32
51,50,5.4,10,2.3,32.4
53,50.6,4.9,11.9,1.4,31.1
54,48.9,8.1,13.3,1.4,28.3
55,50.2,5.5,10.9,0.9,32.4
56,52.7,5.4,13.3,1.2,27.4
72,35.5,7.7,13.8,2.6,40.4
