id,id2,state,total_pop
0400000US01,1,Alabama,3972124
0400000US02,2,Alaska,583639
0400000US04,4,Arizona,5663228
0400000US05,5,Arkansas,2418049
0400000US06,6,California,32009857
0400000US08,8,Colorado,4558575
0400000US09,9,Connecticut,2986837
0400000US10,10,Delaware,792511
0400000US11,11,District of Columbia,585161
0400000US12,12,Florida,17514198
0400000US13,13,Georgia,8349724
0400000US15,15,Hawaii,1167820
0400000US16,16,Idaho,1349449
0400000US17,17,Illinois,10413077
0400000US18,18,Indiana,5364611
0400000US19,19,Iowa,2537862
0400000US20,20,Kansas,2318621
0400000US21,21,Kentucky,3612529
0400000US22,22,Louisiana,3760394
0400000US23,23,Maine,1128297
0400000US24,24,Maryland,4936544
0400000US25,25,Massachusetts,5738766
0400000US26,26,Michigan,8180585
0400000US27,27,Minnesota,4493286
0400000US28,28,Mississippi,2393019
0400000US29,29,Missouri,4963584
0400000US30,30,Montana,859328
0400000US31,31,Nebraska,1521245
0400000US32,32,Nevada,2429800
0400000US33,33,New Hampshire,1133744
0400000US34,34,New Jersey,7377448
0400000US35,35,New Mexico,1681966
0400000US36,36,New York,16410547
0400000US37,37,North Carolina,8377139
0400000US38,38,North Dakota,606716
0400000US39,39,Ohio,9515823
0400000US40,40,Oklahoma,3129329
0400000US41,41,Oregon,3416916
0400000US42,42,Pennsylvania,10611437
0400000US44,44,Rhode Island,890333
0400000US45,45,South Carolina,4110098
0400000US46,46,South Dakota,690282
0400000US47,47,Tennessee,5466987
0400000US48,48,Texas,22164607
0400000US49,49,Utah,2327933
0400000US50,50,Vermont,526751
0400000US51,51,Virginia,6919620
0400000US53,53,Washington,6028802
0400000US54,54,West Virginia,1505831
0400000US55,55,Wisconsin,4739661
0400000US56,56,Wyoming,462614
0400000US72,72,Puerto Rico,2812219
